10.2.168.0/24           31.13.61.142
10.2.171.0/24           31.13.61.145
10.2.172.0/24           31.13.61.146
10.2.174.0/24           31.13.61.148
10.2.175.0/24           31.13.61.149
10.2.176.0/24           31.13.61.150
10.2.177.0/24           31.13.61.151
10.2.178.0/24           31.13.61.152
10.2.179.0/24           31.13.61.153
10.2.180.0/24           31.13.61.154
10.2.181.0/24           31.13.61.155
10.2.182.0/24           31.13.61.156
10.2.183.0/24           31.13.61.157
10.2.184.0/24           31.13.61.158
10.2.186.0/24           31.13.61.160
10.2.187.0/24           31.13.61.161
10.2.188.0/24           31.13.61.162
10.2.189.0/24           31.13.61.163
10.2.191.0/24           31.13.61.165
10.2.192.0/24           31.13.61.166
10.2.193.0/24           31.13.61.167
10.2.194.0/24           31.13.61.168
10.2.240.0/24           31.13.61.181
10.2.241.0/24           31.13.61.182
10.2.242.0/24           31.13.61.183
10.2.243.0/24           31.13.61.184
10.2.245.0/24           31.13.61.186
10.2.246.0/24           31.13.61.187
10.2.247.0/24           31.13.61.188
10.2.249.0/24           31.13.61.190
10.2.250.0/24           31.13.61.191
10.2.251.0/24           31.13.61.192
10.2.252.0/24           31.13.61.193
10.2.253.0/24           31.13.61.194
10.3.1.0/24             31.13.61.197
10.3.2.0/24             31.13.61.198
10.3.3.0/24             31.13.61.199
10.3.4.0/24             31.13.61.200
10.3.5.0/24             31.13.61.201
10.3.6.0/24             31.13.61.202
10.3.7.0/24             31.13.61.203
10.3.10.0/24            31.13.61.206
10.3.11.0/24            31.13.61.207
10.3.12.0/24            31.13.61.208
10.3.13.0/24            31.13.61.209
10.3.14.0/24            31.13.61.210
10.3.15.0/24            31.13.61.211
10.3.17.0/24            31.13.61.213
10.3.21.0/24            31.13.61.217
10.3.23.0/24            31.13.61.219
10.3.27.0/24            31.13.61.223
10.3.28.0/24            31.13.61.224
10.3.31.0/24            31.13.61.227
10.3.33.0/24            31.13.61.229
10.3.34.0/24            31.13.61.230
10.3.35.0/24            31.13.61.231
10.3.36.0/24            31.13.61.232
10.3.38.0/24            31.13.61.234
10.3.39.0/24            31.13.61.235
10.3.40.0/24            31.13.61.236
10.3.41.0/24            31.13.61.237
10.3.42.0/24            31.13.61.238
10.3.43.0/24            31.13.61.239
10.3.44.0/24            31.13.61.240
10.3.46.0/24            31.13.61.242
10.3.47.0/24            31.13.61.243
10.3.48.0/24            31.13.61.244
10.3.49.0/24            31.13.61.245
10.3.50.0/24            31.13.61.246
10.3.51.0/24            31.13.61.247
10.3.52.0/24            31.13.61.248
10.3.53.0/24            31.13.61.249
