10.1.8.0 31.13.61.2
10.1.12.0 31.13.61.3
10.1.16.0 31.13.61.4
10.1.20.0 31.13.61.5
10.1.24.0 31.13.61.6
10.1.28.0 31.13.61.7
10.1.32.0 31.13.61.8
10.1.36.0 31.13.61.9
10.1.40.0 31.13.61.10
10.1.44.0 31.13.61.11
10.1.48.0 31.13.61.12
10.1.52.0 31.13.61.13
10.1.56.0 31.13.61.14
10.1.60.0 31.13.61.15
10.1.64.0 31.13.61.16
10.1.68.0 31.13.61.17
10.1.72.0 31.13.61.18
10.1.76.0 31.13.61.19
10.1.80.0 31.13.61.20
10.1.84.0 31.13.61.21
10.1.88.0 31.13.61.22
10.1.92.0 31.13.61.23
10.1.96.0 31.13.61.24
10.1.100.0 31.13.61.25
10.1.104.0 31.13.61.26
10.1.108.0 31.13.61.27
10.1.112.0 31.13.61.28
10.1.116.0 31.13.61.29
10.1.120.0 31.13.61.30
10.1.124.0 31.13.61.31
10.1.128.0 31.13.61.32
10.1.132.0 31.13.61.33
10.1.136.0 31.13.61.34
10.1.140.0 31.13.61.35
10.1.144.0 31.13.61.36
10.1.148.0 31.13.61.37
10.1.152.0 31.13.61.38
10.1.160.0 31.13.61.40
10.1.164.0 31.13.61.41
10.1.168.0 31.13.61.42
10.1.172.0 31.13.61.43
10.1.176.0 31.13.61.44
10.1.180.0 31.13.61.45
10.1.184.0 31.13.61.46
10.1.188.0 31.13.61.47
10.1.192.0 31.13.61.48
10.1.196.0 31.13.61.49
10.1.200.0 31.13.61.50
10.1.204.0 31.13.61.51
10.1.208.0 31.13.61.52
10.1.212.0 31.13.61.53
10.1.216.0 31.13.61.54
10.1.220.0 31.13.61.55
10.1.224.0 31.13.61.56
10.1.232.0 31.13.61.58
10.1.236.0 31.13.61.122
10.1.240.0 31.13.61.60
10.1.244.0 31.13.61.61
10.1.252.0 31.13.61.63
10.2.19.0 31.13.61.79
10.2.75.0 31.13.61.90
10.2.48.0 31.13.61.94
10.2.52.0 31.13.61.95
10.2.100.0 31.13.61.123
10.2.4.0 31.13.61.80
10.2.6.0 31.13.61.66
10.2.7.0 31.13.61.67
10.2.15.0 31.13.61.75
10.2.69.0 31.13.61.83
10.2.82.0 31.13.61.105
10.2.89.0 31.13.61.59
10.2.165.0 31.13.61.139
10.2.84.0 31.13.61.107
10.2.20.0 31.13.61.81
10.2.24.0 31.13.61.82
10.2.36.0 31.13.61.91
10.2.104.0 31.13.61.124
10.2.108.0 31.13.61.125
10.2.224.0 31.13.61.177
10.2.40.0 31.13.61.92
10.2.116.0 31.13.61.127
10.2.148.0 31.13.61.135
10.2.152.0 31.13.61.136
10.2.132.0 31.13.61.131
10.2.228.0 31.13.61.178
10.2.196.0 31.13.61.170
10.2.200.0 31.13.61.171
10.2.204.0 31.13.61.172
10.2.160.0 31.13.61.137
10.2.212.0 31.13.61.174
10.2.216.0 31.13.61.175
10.5.106.0 77.108.107.49
10.5.108.0 77.108.107.50
10.5.224.0 77.108.107.145
